set	Biological set	sample_temp	subtype	sample_name_machine	channel	Treatment	temperature_plus3	set_sample_id	cell_line	sample_id		temperature
Set6	IBRUTINIB2_SW13	IBRUTINIB2_64	Small-cell.carcinoma	SW13	130C	IBRUTINIB	64	Set6_tmt10plex_130C	SW13	IBRUTINIB2_SW13_tmt10plex_130C		61
Set6	IBRUTINIB2_SW13	IBRUTINIB2_67	Small-cell.carcinoma	SW13	131	IBRUTINIB	67	Set6_tmt10plex_131	SW13	IBRUTINIB2_SW13_tmt10plex_131		64
Set7	DMSO1_SW13	DMSO1_40	Small-cell.carcinoma	SW13	126	DMSO	40	Set7_tmt10plex_126	SW13	DMSO1_SW13_tmt10plex_126		37
Set7	DMSO1_SW13	DMSO1_43	Small-cell.carcinoma	SW13	127N	DMSO	43	Set7_tmt10plex_127N	SW13	DMSO1_SW13_tmt10plex_127N		40
Set7	DMSO1_SW13	DMSO1_46	Small-cell.carcinoma	SW13	127C	DMSO	46	Set7_tmt10plex_127C	SW13	DMSO1_SW13_tmt10plex_127C		43
Set7	DMSO1_SW13	DMSO1_49	Small-cell.carcinoma	SW13	128N	DMSO	49	Set7_tmt10plex_128N	SW13	DMSO1_SW13_tmt10plex_128N		46
Set7	DMSO1_SW13	DMSO1_52	Small-cell.carcinoma	SW13	128C	DMSO	52	Set7_tmt10plex_128C	SW13	DMSO1_SW13_tmt10plex_128C		49
Set7	DMSO1_SW13	DMSO1_55	Small-cell.carcinoma	SW13	129N	DMSO	55	Set7_tmt10plex_129N	SW13	DMSO1_SW13_tmt10plex_129N		52
Set7	DMSO1_SW13	DMSO1_58	Small-cell.carcinoma	SW13	129C	DMSO	58	Set7_tmt10plex_129C	SW13	DMSO1_SW13_tmt10plex_129C		55
Set7	DMSO1_SW13	DMSO1_61	Small-cell.carcinoma	SW13	130N	DMSO	61	Set7_tmt10plex_130N	SW13	DMSO1_SW13_tmt10plex_130N		58
Set7	DMSO1_SW13	DMSO1_64	Small-cell.carcinoma	SW13	130C	DMSO	64	Set7_tmt10plex_130C	SW13	DMSO1_SW13_tmt10plex_130C		61
Set7	DMSO1_SW13	DMSO1_67	Small-cell.carcinoma	SW13	131	DMSO	67	Set7_tmt10plex_131	SW13	DMSO1_SW13_tmt10plex_131		64
Set8	DMSO2_SW13	DMSO2_40	Small-cell.carcinoma	SW13	126	DMSO	40	Set8_tmt10plex_126	SW13	DMSO2_SW13_tmt10plex_126		37
Set8	DMSO2_SW13	DMSO2_43	Small-cell.carcinoma	SW13	127N	DMSO	43	Set8_tmt10plex_127N	SW13	DMSO2_SW13_tmt10plex_127N		40
Set8	DMSO2_SW13	DMSO2_46	Small-cell.carcinoma	SW13	127C	DMSO	46	Set8_tmt10plex_127C	SW13	DMSO2_SW13_tmt10plex_127C		43
Set8	DMSO2_SW13	DMSO2_49	Small-cell.carcinoma	SW13	128N	DMSO	49	Set8_tmt10plex_128N	SW13	DMSO2_SW13_tmt10plex_128N		46
Set8	DMSO2_SW13	DMSO2_52	Small-cell.carcinoma	SW13	128C	DMSO	52	Set8_tmt10plex_128C	SW13	DMSO2_SW13_tmt10plex_128C		49
Set8	DMSO2_SW13	DMSO2_55	Small-cell.carcinoma	SW13	129N	DMSO	55	Set8_tmt10plex_129N	SW13	DMSO2_SW13_tmt10plex_129N		52
Set8	DMSO2_SW13	DMSO2_58	Small-cell.carcinoma	SW13	129C	DMSO	58	Set8_tmt10plex_129C	SW13	DMSO2_SW13_tmt10plex_129C		55
Set8	DMSO2_SW13	DMSO2_61	Small-cell.carcinoma	SW13	130N	DMSO	61	Set8_tmt10plex_130N	SW13	DMSO2_SW13_tmt10plex_130N		58
Set8	DMSO2_SW13	DMSO2_64	Small-cell.carcinoma	SW13	130C	DMSO	64	Set8_tmt10plex_130C	SW13	DMSO2_SW13_tmt10plex_130C		61
Set8	DMSO2_SW13	DMSO2_67	Small-cell.carcinoma	SW13	131	DMSO	67	Set8_tmt10plex_131	SW13	DMSO2_SW13_tmt10plex_131		64
